niveau,continent,norme_iso_3166,nationalite,premiere_demande,reexamen,reouverture,maj_premiere_demande,maj_reexamen,maj_reouverture,f_premiere_demande,f_reexamen,f_reouverture,maj_f_premiere_demande,maj_f_reexamen,maj_f_reouverture
Total,,,,130029,23573,113,93742,16656,55,56417,7957,75,37231,4435,26
Continent,AFRIQUE,,,59706,6688,51,41786,3927,9,27577,2720,45,17062,1185,4
Nationalité,AFRIQUE,,Autres nationalités,38,4,0,32,2,0,10,1,0,9,1,0
Nationalité,AFRIQUE,AGO,Angola,2429,137,0,1656,68,0,1329,62,0,952,27,0
Nationalité,AFRIQUE,BDI,Burundi,203,24,0,130,12,0,92,7,0,58,5,0
Nationalité,AFRIQUE,BEN,Bénin,341,16,0,273,11,0,129,6,0,87,3,0
Nationalité,AFRIQUE,BFA,Burkina Faso,313,45,0,230,25,0,145,19,0,93,6,0
Nationalité,AFRIQUE,CAF,Centrafrique,856,48,1,531,34,1,386,13,0,219,4,0
Nationalité,AFRIQUE,CIV,Côte d'Ivoire,8851,909,22,5077,295,0,5576,568,22,3104,157,0
Nationalité,AFRIQUE,CMR,Cameroun,1674,118,0,1363,79,0,759,44,0,599,16,0
Nationalité,AFRIQUE,COD,Rép. Dém. Congo,9481,849,1,6583,448,0,4735,371,0,3230,169,0
Nationalité,AFRIQUE,COG,Congo,1258,147,1,951,105,1,635,69,0,471,49,0
Nationalité,AFRIQUE,COM,Comores,683,43,0,450,27,0,244,13,0,123,4,0
Nationalité,AFRIQUE,DJI,Djibouti,305,59,0,208,45,0,154,26,0,101,20,0
Nationalité,AFRIQUE,DZA,Algérie,1098,108,0,858,88,0,315,22,0,192,10,0
Nationalité,AFRIQUE,EGY,Égypte,794,213,0,649,188,0,177,27,0,100,11,0
Nationalité,AFRIQUE,ERI,Érythrée,1466,132,0,1011,50,0,657,60,0,444,22,0
Nationalité,AFRIQUE,ESH,Sahara occ. (origine),353,17,0,346,13,0,42,6,0,37,3,0
Nationalité,AFRIQUE,ETH,Éthiopie,966,68,0,842,37,0,234,30,0,175,18,0
Nationalité,AFRIQUE,GAB,Gabon,174,15,0,119,10,0,103,5,0,76,3,0
Nationalité,AFRIQUE,GHA,Ghana,64,9,0,56,9,0,24,1,0,17,1,0
Nationalité,AFRIQUE,GIN,Guinée,10327,1000,9,6644,527,1,5633,418,9,3336,170,1
Nationalité,AFRIQUE,GMB,Gambie,150,36,0,106,27,0,60,12,0,30,6,0
Nationalité,AFRIQUE,GNB,Guinée-Bissau,110,17,0,74,7,0,65,10,0,46,3,0
Nationalité,AFRIQUE,GNQ,Guinée équatoriale,23,2,0,17,1,0,15,1,0,13,0,0
Nationalité,AFRIQUE,KEN,Kenya,46,7,0,43,6,0,25,3,0,23,3,0
Nationalité,AFRIQUE,LBR,Libéria,84,24,0,56,11,0,46,7,0,26,0,0
Nationalité,AFRIQUE,LBY,Libye,148,37,0,106,29,0,44,6,0,27,3,0
Nationalité,AFRIQUE,MAR,Maroc,585,75,0,508,66,0,153,14,0,122,10,0
Nationalité,AFRIQUE,MDG,Madagascar,163,10,0,117,6,0,76,6,0,54,3,0
Nationalité,AFRIQUE,MLI,Mali,1725,253,2,1081,171,0,912,93,2,423,44,0
